Player,Team,Conference,Month,Year,in,Award
Andrew Bogut,Milwaukee Bucks,West,January,2006,2006-01-01 00:00:00,NBA Rookie Of The Month
Chris Paul,New Orleans Hornets,West,January,2006,2006-01-01 00:00:00,NBA Rookie Of The Month
Charlie Villanueva,Toronto Raptors,East,December,2006,2006-12-01 00:00:00,NBA Rookie Of The Month
Chris Paul,New Orleans Hornets,West,December,2006,2006-12-01 00:00:00,NBA Rookie Of The Month
Channing Frye,New York Knicks,East,November,2006,2006-11-01 00:00:00,NBA Rookie Of The Month
Chris Paul,New Orleans Hornets,West,November,2006,2006-11-01 00:00:00,NBA Rookie Of The Month
Shelden Williams,Atlanta Hawks,East,April,2007,2007-04-01 00:00:00,NBA Rookie Of The Month
Tarence Kinsey,Memphis Grizzlies,West,April,2007,2007-04-01 00:00:00,NBA Rookie Of The Month
Walter Herrmann,Charlotte Bobcats,East,March,2007,2007-03-01 00:00:00,NBA Rookie Of The Month
Brandon Roy,Portland Trail Blazers,West,March,2007,2007-03-01 00:00:00,NBA Rookie Of The Month
Andrea Bargnani,Toronto Raptors,East,February,2007,2007-02-01 00:00:00,NBA Rookie Of The Month
Brandon Roy,Portland Trail Blazers,West,February,2007,2007-02-01 00:00:00,NBA Rookie Of The Month
Andrea Bargnani,Toronto Raptors,East,January,2007,2007-01-01 00:00:00,NBA Rookie Of The Month
Brandon Roy,Portland Trail Blazers,West,January,2007,2007-01-01 00:00:00,NBA Rookie Of The Month
Jorge Garbajosa,Toronto Raptors,East,December,2007,2007-12-01 00:00:00,NBA Rookie Of The Month
Randy Foye,Minnesota Timberwolves,West,December,2007,2007-12-01 00:00:00,NBA Rookie Of The Month
Adam Morrison,Charlotte Bobcats,East,November,2007,2007-11-01 00:00:00,NBA Rookie Of The Month
Rudy Gay,Memphis Grizzlies,West,November,2007,2007-11-01 00:00:00,NBA Rookie Of The Month
Ramon Sessions,Milwaukee Bucks,East,April,2008,2008-04-01 00:00:00,NBA Rookie Of The Month
Kevin Durant,Seattle SuperSonics,West,April,2008,2008-04-01 00:00:00,NBA Rookie Of The Month
Al Horford,Atlanta Hawks,East,March,2008,2008-03-01 00:00:00,NBA Rookie Of The Month
Kevin Durant,Seattle SuperSonics,West,March,2008,2008-03-01 00:00:00,NBA Rookie Of The Month
Al Horford,Atlanta Hawks,East,February,2008,2008-02-01 00:00:00,NBA Rookie Of The Month
Luis Scola,Houston Rockets,West,February,2008,2008-02-01 00:00:00,NBA Rookie Of The Month
Jamario Moon,Toronto Raptors,East,January,2008,2008-01-01 00:00:00,NBA Rookie Of The Month
Kevin Durant,Seattle SuperSonics,West,January,2008,2008-01-01 00:00:00,NBA Rookie Of The Month
Jianlian Yi,Milwaukee Bucks,East,December,2008,2008-12-01 00:00:00,NBA Rookie Of The Month
Kevin Durant,Seattle SuperSonics,West,December,2008,2008-12-01 00:00:00,NBA Rookie Of The Month
Al Horford,Atlanta Hawks,East,November,2008,2008-11-01 00:00:00,NBA Rookie Of The Month
Kevin Durant,Seattle SuperSonics,West,November,2008,2008-11-01 00:00:00,NBA Rookie Of The Month
Michael Beasley,Miami Heat,East,April,2009,2009-04-01 00:00:00,NBA Rookie Of The Month
O.J. Mayo,Memphis Grizzlies,West,April,2009,2009-04-01 00:00:00,NBA Rookie Of The Month
Derrick Rose,Chicago Bulls,East,March,2009,2009-03-01 00:00:00,NBA Rookie Of The Month
Kevin Love,Minnesota Timberwolves,West,March,2009,2009-03-01 00:00:00,NBA Rookie Of The Month
Brook Lopez,New Jersey Nets,East,February,2009,2009-02-01 00:00:00,NBA Rookie Of The Month
Russell Westbrook,Oklahoma City Thunder,West,February,2009,2009-02-01 00:00:00,NBA Rookie Of The Month
Brook Lopez,New Jersey Nets,East,January,2009,2009-01-01 00:00:00,NBA Rookie Of The Month
Eric Gordon,Los Angeles Clippers,West,January,2009,2009-01-01 00:00:00,NBA Rookie Of The Month
Derrick Rose,Chicago Bulls,East,December,2009,2009-12-01 00:00:00,NBA Rookie Of The Month
Russell Westbrook,Oklahoma City Thunder,West,December,2009,2009-12-01 00:00:00,NBA Rookie Of The Month
Derrick Rose,Chicago Bulls,East,November,2009,2009-11-01 00:00:00,NBA Rookie Of The Month
O.J. Mayo,Memphis Grizzlies,West,November,2009,2009-11-01 00:00:00,NBA Rookie Of The Month
Terrence Williams,New Jersey Nets,East,April,2010,2010-04-01 00:00:00,NBA Rookie Of The Month
Stephen Curry,Golden State Warriors,West,April,2010,2010-04-01 00:00:00,NBA Rookie Of The Month
Brandon Jennings,Milwaukee Bucks,East,March,2010,2010-03-01 00:00:00,NBA Rookie Of The Month
Stephen Curry,Golden State Warriors,West,March,2010,2010-03-01 00:00:00,NBA Rookie Of The Month
Jonas Jerebko,Detroit Pistons,East,February,2010,2010-02-01 00:00:00,NBA Rookie Of The Month
Darren Collison,New Orleans Hornets,West,February,2010,2010-02-01 00:00:00,NBA Rookie Of The Month
Brandon Jennings,Milwaukee Bucks,East,January,2010,2010-01-01 00:00:00,NBA Rookie Of The Month
Stephen Curry,Golden State Warriors,West,January,2010,2010-01-01 00:00:00,NBA Rookie Of The Month
Brandon Jennings,Milwaukee Bucks,East,December,2010,2010-12-01 00:00:00,NBA Rookie Of The Month
Tyreke Evans,Sacramento Kings,West,December,2010,2010-12-01 00:00:00,NBA Rookie Of The Month
Brandon Jennings,Milwaukee Bucks,East,November,2010,2010-11-01 00:00:00,NBA Rookie Of The Month
Tyreke Evans,Sacramento Kings,West,November,2010,2010-11-01 00:00:00,NBA Rookie Of The Month
John Wall,Washington Wizards,East,April,2011,2011-04-01 00:00:00,NBA Rookie Of The Month
Blake Griffin,Los Angeles Clippers,West,April,2011,2011-04-01 00:00:00,NBA Rookie Of The Month
John Wall,Washington Wizards,East,March,2011,2011-03-01 00:00:00,NBA Rookie Of The Month
Blake Griffin,Los Angeles Clippers,West,March,2011,2011-03-01 00:00:00,NBA Rookie Of The Month
John Wall,Washington Wizards,East,February,2011,2011-02-01 00:00:00,NBA Rookie Of The Month
Blake Griffin,Los Angeles Clippers,West,February,2011,2011-02-01 00:00:00,NBA Rookie Of The Month
John Wall,Washington Wizards,East,January,2011,2011-01-01 00:00:00,NBA Rookie Of The Month
Blake Griffin,Los Angeles Clippers,West,January,2011,2011-01-01 00:00:00,NBA Rookie Of The Month
Landry Fields,New York Knicks,East,December,2011,2011-12-01 00:00:00,NBA Rookie Of The Month
Blake Griffin,Los Angeles Clippers,West,December,2011,2011-12-01 00:00:00,NBA Rookie Of The Month
Landry Fields,New York Knicks,East,November,2011,2011-11-01 00:00:00,NBA Rookie Of The Month
Blake Griffin,Los Angeles Clippers,West,November,2011,2011-11-01 00:00:00,NBA Rookie Of The Month
Ivan Johnson,Atlanta Hawks,East,April,2012,2012-04-01 00:00:00,NBA Rookie Of The Month
Kenneth Faried,Denver Nuggets,West,April,2012,2012-04-01 00:00:00,NBA Rookie Of The Month
Kyrie Irving,Cleveland Cavaliers,East,March,2012,2012-03-01 00:00:00,NBA Rookie Of The Month
Isaiah Thomas,Sacramento Kings,West,March,2012,2012-03-01 00:00:00,NBA Rookie Of The Month
Kyrie Irving,Cleveland Cavaliers,East,February,2012,2012-02-01 00:00:00,NBA Rookie Of The Month
Isaiah Thomas,Sacramento Kings,West,February,2012,2012-02-01 00:00:00,NBA Rookie Of The Month
Kyrie Irving,Cleveland Cavaliers,East,January,2012,2012-01-01 00:00:00,NBA Rookie Of The Month
Ricky Rubio,Minnesota Timberwolves,West,January,2012,2012-01-01 00:00:00,NBA Rookie Of The Month
Chris Copeland,New York Knicks,East,April,2013,2013-04-01 00:00:00,NBA Rookie Of The Month
Damian Lillard,Portland Trail Blazers,West,April,2013,2013-04-01 00:00:00,NBA Rookie Of The Month
Jonas Valanciunas,Toronto Raptors,East,March,2013,2013-03-01 00:00:00,NBA Rookie Of The Month
Damian Lillard,Portland Trail Blazers,West,March,2013,2013-03-01 00:00:00,NBA Rookie Of The Month
Dion Waiters,Cleveland Cavaliers,East,February,2013,2013-02-01 00:00:00,NBA Rookie Of The Month
Damian Lillard,Portland Trail Blazers,West,February,2013,2013-02-01 00:00:00,NBA Rookie Of The Month
Bradley Beal,Washington Wizards,East,January,2013,2013-01-01 00:00:00,NBA Rookie Of The Month
Damian Lillard,Portland Trail Blazers,West,January,2013,2013-01-01 00:00:00,NBA Rookie Of The Month
Bradley Beal,Washington Wizards,East,December,2013,2013-12-01 00:00:00,NBA Rookie Of The Month
Damian Lillard,Portland Trail Blazers,West,December,2013,2013-12-01 00:00:00,NBA Rookie Of The Month
Michael Kidd-Gilchrist,Charlotte Bobcats,East,November,2013,2013-11-01 00:00:00,NBA Rookie Of The Month
Damian Lillard,Portland Trail Blazers,West,November,2013,2013-11-01 00:00:00,NBA Rookie Of The Month
Michael Carter-Williams,Philadelphia Sixers,East,March,2014,2014-03-01 00:00:00,NBA Rookie Of The Month
Gorgui Dieng,Minnesota Timberwolves,West,March,2014,2014-03-01 00:00:00,NBA Rookie Of The Month
Victor Oladipo,Orlando Magic,East,February,2014,2014-02-01 00:00:00,NBA Rookie Of The Month
Nick Calathes,Memphis Grizzlies,West,February,2014,2014-02-01 00:00:00,NBA Rookie Of The Month
Michael Carter-Williams,Philadelphia Sixers,East,January,2014,2014-01-01 00:00:00,NBA Rookie Of The Month
Trey Burke,Utah Jazz,West,January,2014,2014-01-01 00:00:00,NBA Rookie Of The Month
Victor Oladipo,Orlando Magic,East,December,2014,2014-12-01 00:00:00,NBA Rookie Of The Month
Trey Burke,Utah Jazz,West,December,2014,2014-12-01 00:00:00,NBA Rookie Of The Month
Michael Carter-Williams,Philadelphia Sixers,East,November,2014,2014-11-01 00:00:00,NBA Rookie Of The Month
Ben McLemore,Sacramento Kings,West,November,2014,2014-11-01 00:00:00,NBA Rookie Of The Month
Bojan Bogdanovic,Brooklyn Nets,East,April,2015,2015-04-01 00:00:00,NBA Rookie Of The Month
Rodney Hood,Utah Jazz,West,April,2015,2015-04-01 00:00:00,NBA Rookie Of The Month
Nikola Mirotic,Chicago Bulls,East,March,2015,2015-03-01 00:00:00,NBA Rookie Of The Month
Jordan Clarkson,Los Angeles Lakers,West,March,2015,2015-03-01 00:00:00,NBA Rookie Of The Month
Marcus Smart,Boston Celtics,East,February,2015,2015-02-01 00:00:00,NBA Rookie Of The Month
Andrew Wiggins,Minnesota Timberwolves,West,February,2015,2015-02-01 00:00:00,NBA Rookie Of The Month
Elfrid Payton,Orlando Magic,East,January,2015,2015-01-01 00:00:00,NBA Rookie Of The Month
Andrew Wiggins,Minnesota Timberwolves,West,January,2015,2015-01-01 00:00:00,NBA Rookie Of The Month
Nikola Mirotic,Chicago Bulls,East,December,2015,2015-12-01 00:00:00,NBA Rookie Of The Month
Andrew Wiggins,Minnesota Timberwolves,West,December,2015,2015-12-01 00:00:00,NBA Rookie Of The Month
Jabari Parker,Milwaukee Bucks,East,November,2015,2015-11-01 00:00:00,NBA Rookie Of The Month
Andrew Wiggins,Minnesota Timberwolves,West,November,2015,2015-11-01 00:00:00,NBA Rookie Of The Month
Norman Powell,Toronto Raptors,East,April,2016,2016-04-01 00:00:00,NBA Rookie Of The Month
Karl-Anthony Towns,Minnesota Timberwolves,West,April,2016,2016-04-01 00:00:00,NBA Rookie Of The Month
Josh Richardson,Miami Heat,East,March,2016,2016-03-01 00:00:00,NBA Rookie Of The Month
Karl-Anthony Towns,Minnesota Timberwolves,West,March,2016,2016-03-01 00:00:00,NBA Rookie Of The Month
Myles Turner,Indiana Pacers,East,February,2016,2016-02-01 00:00:00,NBA Rookie Of The Month
Karl-Anthony Towns,Minnesota Timberwolves,West,February,2016,2016-02-01 00:00:00,NBA Rookie Of The Month
Kristaps Porzingis,New York Knicks,East,January,2016,2016-01-01 00:00:00,NBA Rookie Of The Month
Karl-Anthony Towns,Minnesota Timberwolves,West,January,2016,2016-01-01 00:00:00,NBA Rookie Of The Month
Kristaps Porzingis,New York Knicks,East,December,2016,2016-12-01 00:00:00,NBA Rookie Of The Month
Karl-Anthony Towns,Minnesota Timberwolves,West,December,2016,2016-12-01 00:00:00,NBA Rookie Of The Month
Kristaps Porzingis,New York Knicks,East,November,2016,2016-11-01 00:00:00,NBA Rookie Of The Month
Karl-Anthony Towns,Minnesota Timberwolves,West,November,2016,2016-11-01 00:00:00,NBA Rookie Of The Month
Willy Hernangomez,New York Knicks,East,April,2017,2017-04-01 00:00:00,NBA Rookie Of The Month
Tyler Ulis,Phoenix Suns,West,April,2017,2017-04-01 00:00:00,NBA Rookie Of The Month
Dario Saric,Philadelphia Sixers,East,March,2017,2017-03-01 00:00:00,NBA Rookie Of The Month
Buddy Hield,Sacramento Kings,West,March,2017,2017-03-01 00:00:00,NBA Rookie Of The Month
Dario Saric,Philadelphia Sixers,East,February,2017,2017-02-01 00:00:00,NBA Rookie Of The Month
Yogi Ferrell,Dallas Mavericks,West,February,2017,2017-02-01 00:00:00,NBA Rookie Of The Month
Joel Embiid,Philadelphia Sixers,East,January,2017,2017-01-01 00:00:00,NBA Rookie Of The Month
Marquese Chriss,Phoenix Suns,West,January,2017,2017-01-01 00:00:00,NBA Rookie Of The Month
Joel Embiid,Philadelphia Sixers,East,December,2017,2017-12-01 00:00:00,NBA Rookie Of The Month
Buddy Hield,New Orleans Pelicans,West,December,2017,2017-12-01 00:00:00,NBA Rookie Of The Month
Joel Embiid,Philadelphia Sixers,East,November,2017,2017-11-01 00:00:00,NBA Rookie Of The Month
Jamal Murray,Denver Nuggets,West,November,2017,2017-11-01 00:00:00,NBA Rookie Of The Month
Ben Simmons,Philadelphia Sixers,East,March,2018,2018-03-01 00:00:00,NBA Rookie Of The Month
Donovan Mitchell,Utah Jazz,West,March,2018,2018-03-01 00:00:00,NBA Rookie Of The Month
Ben Simmons,Philadelphia Sixers,East,February,2018,2018-02-01 00:00:00,NBA Rookie Of The Month
Donovan Mitchell,Utah Jazz,West,February,2018,2018-02-01 00:00:00,NBA Rookie Of The Month
Ben Simmons,Philadelphia Sixers,East,January,2018,2018-01-01 00:00:00,NBA Rookie Of The Month
Donovan Mitchell,Utah Jazz,West,January,2018,2018-01-01 00:00:00,NBA Rookie Of The Month
Jayson Tatum,Boston Celtics,East,December,2018,2018-12-01 00:00:00,NBA Rookie Of The Month
Donovan Mitchell,Utah Jazz,West,December,2018,2018-12-01 00:00:00,NBA Rookie Of The Month
Ben Simmons,Philadelphia Sixers,East,November,2018,2018-11-01 00:00:00,NBA Rookie Of The Month
Kyle Kuzma,Los Angeles Lakers,West,November,2018,2018-11-01 00:00:00,NBA Rookie Of The Month
Trae Young,Atlanta Hawks,East,March,2019,2019-03-01 00:00:00,NBA Rookie Of The Month
Luka Doncic,Dallas Mavericks,West,March,2019,2019-03-01 00:00:00,NBA Rookie Of The Month
Trae Young,Atlanta Hawks,East,February,2019,2019-02-01 00:00:00,NBA Rookie Of The Month
Luka Doncic,Dallas Mavericks,West,February,2019,2019-02-01 00:00:00,NBA Rookie Of The Month
Trae Young,Atlanta Hawks,East,January,2019,2019-01-01 00:00:00,NBA Rookie Of The Month
Luka Doncic,Dallas Mavericks,West,January,2019,2019-01-01 00:00:00,NBA Rookie Of The Month
Kevin Knox,New York Knicks,East,December,2019,2019-12-01 00:00:00,NBA Rookie Of The Month
Luka Doncic,Dallas Mavericks,West,December,2019,2019-12-01 00:00:00,NBA Rookie Of The Month
Trae Young,Atlanta Hawks,East,November,2019,2019-11-01 00:00:00,NBA Rookie Of The Month
Luka Doncic,Dallas Mavericks,West,November,2019,2019-11-01 00:00:00,NBA Rookie Of The Month
Coby White,Chicago Bulls,East,February,2020,2020-02-01 00:00:00,NBA Rookie Of The Month
Zion Williamson,New Orleans Pelicans,West,February,2020,2020-02-01 00:00:00,NBA Rookie Of The Month
Kendrick Nunn,Miami Heat,East,January,2020,2020-01-01 00:00:00,NBA Rookie Of The Month
Ja Morant,Memphis Grizzlies,West,January,2020,2020-01-01 00:00:00,NBA Rookie Of The Month
Kendrick Nunn,Miami Heat,East,December,2020,2020-12-01 00:00:00,NBA Rookie Of The Month
Ja Morant,Memphis Grizzlies,West,December,2020,2020-12-01 00:00:00,NBA Rookie Of The Month
Kendrick Nunn,Miami Heat,East,November,2020,2020-11-01 00:00:00,NBA Rookie Of The Month
Ja Morant,Memphis Grizzlies,West,November,2020,2020-11-01 00:00:00,NBA Rookie Of The Month
R.J. Hampton,Orlando Magic,East,May,2021,2021-05-01 00:00:00,NBA Rookie Of The Month
Anthony Edwards,Minnesota Timberwolves,West,May,2021,2021-05-01 00:00:00,NBA Rookie Of The Month
Malachi Flynn,Toronto Raptors,East,April,2021,2021-04-01 00:00:00,NBA Rookie Of The Month
Anthony Edwards,Minnesota Timberwolves,West,April,2021,2021-04-01 00:00:00,NBA Rookie Of The Month
LaMelo Ball,Charlotte Hornets,East,March,2021,2021-03-01 00:00:00,NBA Rookie Of The Month
Anthony Edwards,Minnesota Timberwolves,West,March,2021,2021-03-01 00:00:00,NBA Rookie Of The Month
LaMelo Ball,Charlotte Hornets,East,February,2021,2021-02-01 00:00:00,NBA Rookie Of The Month
Tyrese Haliburton,Sacramento Kings,West,February,2021,2021-02-01 00:00:00,NBA Rookie Of The Month
LaMelo Ball,Charlotte Hornets,East,January,2021,2021-01-01 00:00:00,NBA Rookie Of The Month
Tyrese Haliburton,Sacramento Kings,West,January,2021,2021-01-01 00:00:00,NBA Rookie Of The Month
Scottie Barnes,Toronto Raptors,East,March,2022,2022-03-01 00:00:00,NBA Rookie Of The Month
Jalen Green,Houston Rockets,West,March,2022,2022-03-01 00:00:00,NBA Rookie Of The Month
Scottie Barnes,Toronto Raptors,East,February,2022,2022-02-01 00:00:00,NBA Rookie Of The Month
Josh Giddey,Oklahoma City Thunder,West,February,2022,2022-02-01 00:00:00,NBA Rookie Of The Month
Cade Cunningham,Detroit Pistons,East,January,2022,2022-01-01 00:00:00,NBA Rookie Of The Month
Josh Giddey,Oklahoma City Thunder,West,January,2022,2022-01-01 00:00:00,NBA Rookie Of The Month
Franz Wagner,Orlando Magic,East,December,2022,2022-12-01 00:00:00,NBA Rookie Of The Month
Josh Giddey,Oklahoma City Thunder,West,December,2022,2022-12-01 00:00:00,NBA Rookie Of The Month
Evan Mobley,Cleveland Cavaliers,East,November,2022,2022-11-01 00:00:00,NBA Rookie Of The Month
Josh Giddey,Oklahoma City Thunder,West,November,2022,2022-11-01 00:00:00,NBA Rookie Of The Month
Paolo Banchero,Orlando Magic,East,February,2023,2023-02-01 00:00:00,NBA Rookie Of The Month
Walker Kessler,Utah Jazz,West,February,2023,2023-02-01 00:00:00,NBA Rookie Of The Month
Paolo Banchero,Orlando Magic,East,January,2023,2023-01-01 00:00:00,NBA Rookie Of The Month
Keegan Murray,Sacramento Kings,West,January,2023,2023-01-01 00:00:00,NBA Rookie Of The Month
Paolo Banchero,Orlando Magic,East,December,2023,2023-12-01 00:00:00,NBA Rookie Of The Month
Keegan Murray,Sacramento Kings,West,December,2023,2023-12-01 00:00:00,NBA Rookie Of The Month
Bennedict Mathurin,Indiana Pacers,East,November,2023,2023-11-01 00:00:00,NBA Rookie Of The Month
Jalen Williams,Oklahoma City Thunder,West,November,2023,2023-11-01 00:00:00,NBA Rookie Of The Month
