Player,Team,Conference,Month,Year
Zion Williamson,New Orleans Pelicans,West,February,2020
Kendrick Nunn,Miami Heat,East,January,2020
Ja Morant,Memphis Grizzlies,West,January,2020
Kendrick Nunn,Miami Heat,East,December,2020
Ja Morant,Memphis Grizzlies,West,December,2020
Kendrick Nunn,Miami Heat,East,November,2020
Ja Morant,Memphis Grizzlies,West,November,2020
R.J. Hampton,Orlando Magic,East,May,2021
Anthony Edwards,Minnesota Timberwolves,West,May,2021
Malachi Flynn,Toronto Raptors,East,April,2021
Anthony Edwards,Minnesota Timberwolves,West,April,2021
LaMelo Ball,Charlotte Hornets,East,March,2021
Anthony Edwards,Minnesota Timberwolves,West,March,2021
LaMelo Ball,Charlotte Hornets,East,February,2021
Tyrese Haliburton,Sacramento Kings,West,February,2021
LaMelo Ball,Charlotte Hornets,East,January,2021
Tyrese Haliburton,Sacramento Kings,West,January,2021
Scottie Barnes,Toronto Raptors,East,March,2022
Jalen Green,Houston Rockets,West,March,2022
Scottie Barnes,Toronto Raptors,East,February,2022
Josh Giddey,Oklahoma City Thunder,West,February,2022
Cade Cunningham,Detroit Pistons,East,January,2022
Josh Giddey,Oklahoma City Thunder,West,January,2022
Franz Wagner,Orlando Magic,East,December,2022
Josh Giddey,Oklahoma City Thunder,West,December,2022
Evan Mobley,Cleveland Cavaliers,East,November,2022
Josh Giddey,Oklahoma City Thunder,West,November,2022
